info face="Automatica BRK"
chars count=97
char id=32    x=208   y=249   width=4     height=4     xoffset=-1.500    yoffset=1.500     xadvance=15.625      page=0  chnl=0
char id=106   x=80    y=105   width=21    height=27    xoffset=-0.750    yoffset=19.688    xadvance=18.500      page=0  chnl=0
char id=107   x=101   y=215   width=24    height=22    xoffset=-0.750    yoffset=19.625    xadvance=22.375      page=0  chnl=0
char id=108   x=247   y=183   width=9     height=22    xoffset=-0.750    yoffset=19.625    xadvance=6.625       page=0  chnl=0
char id=109   x=151   y=149   width=32    height=17    xoffset=-0.750    yoffset=14.688    xadvance=30.313      page=0  chnl=0
char id=110   x=232   y=149   width=24    height=17    xoffset=-0.750    yoffset=14.688    xadvance=22.438      page=0  chnl=0
char id=111   x=208   y=149   width=24    height=17    xoffset=-0.750    yoffset=14.688    xadvance=22.438      page=0  chnl=0
char id=112   x=126   y=105   width=24    height=22    xoffset=-0.750    yoffset=14.688    xadvance=22.375      page=0  chnl=0
char id=113   x=150   y=105   width=24    height=22    xoffset=-0.750    yoffset=14.688    xadvance=22.438      page=0  chnl=0
char id=114   x=183   y=166   width=25    height=17    xoffset=-0.750    yoffset=14.688    xadvance=22.500      page=0  chnl=0
char id=115   x=168   y=88    width=24    height=17    xoffset=-0.750    yoffset=14.688    xadvance=22.438      page=0  chnl=0
char id=116   x=126   y=237   width=24    height=19    xoffset=-0.750    yoffset=17.125    xadvance=22.438      page=0  chnl=0
char id=117   x=101   y=237   width=24    height=17    xoffset=-0.750    yoffset=14.688    xadvance=22.500      page=0  chnl=0
char id=118   x=96    y=88    width=24    height=17    xoffset=-0.750    yoffset=14.688    xadvance=22.438      page=0  chnl=0
char id=119   x=151   y=166   width=32    height=17    xoffset=-0.750    yoffset=14.688    xadvance=30.313      page=0  chnl=0
char id=120   x=120   y=88    width=24    height=17    xoffset=-0.750    yoffset=14.688    xadvance=22.438      page=0  chnl=0
char id=121   x=174   y=105   width=24    height=22    xoffset=-0.750    yoffset=14.688    xadvance=22.500      page=0  chnl=0
char id=122   x=144   y=88    width=24    height=17    xoffset=-0.750    yoffset=14.688    xadvance=22.438      page=0  chnl=0
char id=123   x=80    y=132   width=21    height=22    xoffset=-0.750    yoffset=19.625    xadvance=18.500      page=0  chnl=0
char id=124   x=247   y=227   width=9     height=27    xoffset=-0.750    yoffset=19.625    xadvance=6.625       page=0  chnl=0
char id=125   x=80    y=154   width=20    height=22    xoffset=-0.750    yoffset=19.625    xadvance=18.438      page=0  chnl=0
char id=126   x=32    y=242   width=24    height=12    xoffset=-0.813    yoffset=17.125    xadvance=22.375      page=0  chnl=0
char id=198   x=0     y=0     width=40    height=22    xoffset=-0.750    yoffset=19.625    xadvance=38.188      page=0  chnl=0
char id=230   x=32    y=88    width=40    height=17    xoffset=-0.750    yoffset=14.688    xadvance=38.313      page=0  chnl=0
